using device: cuda
CIFAR10 dataset loaded successfully.
the size of train set is (5000, 32, 32, 3)
the size of train label is (5000,)
the size of test set is (1000, 32, 32, 3)
the size of test label is (1000,)
epoch:0,step:0,loss:0.764
epoch:0,step:1,loss:0.000
epoch:0,step:2,loss:0.000
epoch:0,step:3,loss:0.000
epoch:0,step:4,loss:0.000
epoch:0,step:5,loss:0.000
epoch:0,step:6,loss:0.000
epoch:0,step:7,loss:0.000
epoch:0,step:8,loss:0.000
epoch:0,step:9,loss:0.000
epoch:0,step:10,loss:0.000
epoch:0,step:11,loss:0.000
epoch:0,step:12,loss:0.000
epoch:0,step:13,loss:0.000
epoch:0,step:14,loss:0.000
epoch:0,step:15,loss:0.000
epoch:0,step:16,loss:0.000
epoch:0,step:17,loss:0.000
epoch:0,step:18,loss:0.000
epoch:0,step:19,loss:0.000
epoch:0,step:20,loss:0.000
epoch:0,step:21,loss:0.000
epoch:0,step:22,loss:0.000
epoch:0,step:23,loss:0.000
epoch:0,step:24,loss:0.000
epoch:0,step:25,loss:0.000
epoch:0,step:26,loss:0.000
epoch:0,step:27,loss:0.000
epoch:0,step:28,loss:0.000
epoch:0,step:29,loss:0.000
epoch:0,step:30,loss:0.000
epoch:0,step:31,loss:0.000
epoch:0,step:32,loss:0.000
epoch:0,step:33,loss:0.000
epoch:0,step:34,loss:0.000
epoch:0,step:35,loss:0.000
epoch:0,step:36,loss:0.000
epoch:0,step:37,loss:0.000
epoch:0,step:38,loss:0.000
epoch:0,step:39,loss:0.000
epoch:0,accuracy:100.000
epoch:1,step:0,loss:0.000
epoch:1,step:1,loss:0.000
epoch:1,step:2,loss:0.000
epoch:1,step:3,loss:0.000
epoch:1,step:4,loss:0.000
epoch:1,step:5,loss:0.000
epoch:1,step:6,loss:0.000
epoch:1,step:7,loss:0.000
epoch:1,step:8,loss:0.000
epoch:1,step:9,loss:0.000
epoch:1,step:10,loss:0.000
epoch:1,step:11,loss:0.000
epoch:1,step:12,loss:0.000
epoch:1,step:13,loss:0.000
epoch:1,step:14,loss:0.000
epoch:1,step:15,loss:0.000
epoch:1,step:16,loss:0.000
epoch:1,step:17,loss:0.000
epoch:1,step:18,loss:0.000
epoch:1,step:19,loss:0.000
epoch:1,step:20,loss:0.000
epoch:1,step:21,loss:0.000
epoch:1,step:22,loss:0.000
epoch:1,step:23,loss:0.000
epoch:1,step:24,loss:0.000
epoch:1,step:25,loss:0.000
epoch:1,step:26,loss:0.000
epoch:1,step:27,loss:0.000
epoch:1,step:28,loss:0.000
epoch:1,step:29,loss:0.000
epoch:1,step:30,loss:0.000
epoch:1,step:31,loss:0.000
epoch:1,step:32,loss:0.000
epoch:1,step:33,loss:0.000
epoch:1,step:34,loss:0.000
epoch:1,step:35,loss:0.000
epoch:1,step:36,loss:0.000
epoch:1,step:37,loss:0.000
epoch:1,step:38,loss:0.000
epoch:1,step:39,loss:0.000
epoch:1,accuracy:100.000
epoch:2,step:0,loss:0.000
epoch:2,step:1,loss:0.000
epoch:2,step:2,loss:0.000
epoch:2,step:3,loss:0.000
epoch:2,step:4,loss:0.000
epoch:2,step:5,loss:0.000
epoch:2,step:6,loss:0.000
epoch:2,step:7,loss:0.000
epoch:2,step:8,loss:0.000
epoch:2,step:9,loss:0.000
