using device: cuda
CIFAR100 dataset loaded successfully.
the size of train set is (5000, 32, 32, 3)
the size of train label is (5000,)
the size of test set is (1000, 32, 32, 3)
the size of test label is (1000,)
epoch:17,step:23,loss:0.147
epoch:17,step:24,loss:0.156
epoch:17,step:25,loss:0.187
epoch:17,step:26,loss:0.136
epoch:17,step:27,loss:0.171
epoch:17,step:28,loss:0.171
epoch:17,step:29,loss:0.179
epoch:17,step:30,loss:0.177
epoch:17,step:31,loss:0.165
epoch:17,step:32,loss:0.174
epoch:17,step:33,loss:0.155
epoch:17,step:34,loss:0.145
epoch:17,step:35,loss:0.145
epoch:17,step:36,loss:0.141
epoch:17,step:37,loss:0.129
epoch:17,step:38,loss:0.173
epoch:17,step:39,loss:0.258
epoch:17,accuracy:19.300
epoch:18,step:0,loss:0.486
epoch:18,step:1,loss:0.275
epoch:18,step:2,loss:0.239
epoch:18,step:3,loss:0.206
epoch:18,step:4,loss:0.210
epoch:18,step:5,loss:0.185
epoch:18,step:6,loss:0.161
epoch:18,step:7,loss:0.170
epoch:18,step:8,loss:0.190
epoch:18,step:9,loss:0.158
epoch:18,step:10,loss:0.159
epoch:18,step:11,loss:0.160
epoch:18,step:12,loss:0.153
epoch:18,step:13,loss:0.166
epoch:18,step:14,loss:0.167
epoch:18,step:15,loss:0.158
epoch:18,step:16,loss:0.155
epoch:18,step:17,loss:0.155
epoch:18,step:18,loss:0.185
epoch:18,step:19,loss:0.174
epoch:18,step:20,loss:0.128
epoch:18,step:21,loss:0.179
epoch:18,step:22,loss:0.167
epoch:18,step:23,loss:0.192
epoch:18,step:24,loss:0.159
epoch:18,step:25,loss:0.148
epoch:18,step:26,loss:0.176
epoch:18,step:27,loss:0.154
epoch:18,step:28,loss:0.153
epoch:18,step:29,loss:0.169
epoch:18,step:30,loss:0.156
epoch:18,step:31,loss:0.169
epoch:18,step:32,loss:0.139
epoch:18,step:33,loss:0.135
epoch:18,step:34,loss:0.147
epoch:18,step:35,loss:0.142
epoch:18,step:36,loss:0.141
epoch:18,step:37,loss:0.165
epoch:18,step:38,loss:0.132
epoch:18,step:39,loss:0.197
epoch:18,accuracy:32.700
epoch:19,step:0,loss:0.475
epoch:19,step:1,loss:0.225
epoch:19,step:2,loss:0.202
epoch:19,step:3,loss:0.183
epoch:19,step:4,loss:0.172
epoch:19,step:5,loss:0.212
epoch:19,step:6,loss:0.159
epoch:19,step:7,loss:0.189
epoch:19,step:8,loss:0.158
