using device: cuda
CIFAR100 dataset loaded successfully.
the size of train set is (5000, 32, 32, 3)
the size of train label is (5000,)
the size of test set is (1000, 32, 32, 3)
the size of test label is (1000,)
epoch:4,step:19,loss:0.258
epoch:4,step:20,loss:0.264
epoch:4,step:21,loss:0.266
epoch:4,step:22,loss:0.261
epoch:4,step:23,loss:0.229
epoch:4,step:24,loss:0.254
epoch:4,step:25,loss:0.255
epoch:4,step:26,loss:0.280
epoch:4,step:27,loss:0.259
epoch:4,step:28,loss:0.282
epoch:4,step:29,loss:0.260
epoch:4,step:30,loss:0.278
epoch:4,step:31,loss:0.279
epoch:4,step:32,loss:0.251
epoch:4,step:33,loss:0.254
epoch:4,step:34,loss:0.265
epoch:4,step:35,loss:0.230
epoch:4,step:36,loss:0.260
epoch:4,step:37,loss:0.255
epoch:4,step:38,loss:0.270
epoch:4,step:39,loss:0.305
epoch:4,accuracy:20.100
epoch:5,step:0,loss:0.387
epoch:5,step:1,loss:0.264
epoch:5,step:2,loss:0.292
epoch:5,step:3,loss:0.279
epoch:5,step:4,loss:0.257
epoch:5,step:5,loss:0.258
epoch:5,step:6,loss:0.263
epoch:5,step:7,loss:0.268
epoch:5,step:8,loss:0.235
epoch:5,step:9,loss:0.250
epoch:5,step:10,loss:0.257
epoch:5,step:11,loss:0.255
epoch:5,step:12,loss:0.267
epoch:5,step:13,loss:0.243
epoch:5,step:14,loss:0.247
epoch:5,step:15,loss:0.239
epoch:5,step:16,loss:0.242
epoch:5,step:17,loss:0.239
epoch:5,step:18,loss:0.248
epoch:5,step:19,loss:0.248
epoch:5,step:20,loss:0.277
epoch:5,step:21,loss:0.260
epoch:5,step:22,loss:0.229
epoch:5,step:23,loss:0.247
epoch:5,step:24,loss:0.225
epoch:5,step:25,loss:0.255
epoch:5,step:26,loss:0.260
epoch:5,step:27,loss:0.239
epoch:5,step:28,loss:0.256
epoch:5,step:29,loss:0.266
epoch:5,step:30,loss:0.254
epoch:5,step:31,loss:0.252
epoch:5,step:32,loss:0.237
epoch:5,step:33,loss:0.254
epoch:5,step:34,loss:0.242
epoch:5,step:35,loss:0.265
epoch:5,step:36,loss:0.250
epoch:5,step:37,loss:0.264
epoch:5,step:38,loss:0.237
epoch:5,step:39,loss:0.241
epoch:5,accuracy:23.800
epoch:6,step:0,loss:0.376
epoch:6,step:1,loss:0.239
epoch:6,step:2,loss:0.256
epoch:6,step:3,loss:0.244
epoch:6,step:4,loss:0.234
epoch:6,step:5,loss:0.244
epoch:6,step:6,loss:0.250
epoch:6,step:7,loss:0.235
epoch:6,step:8,loss:0.246
epoch:6,step:9,loss:0.229
epoch:6,step:10,loss:0.223
epoch:6,step:11,loss:0.239
epoch:6,step:12,loss:0.256
epoch:6,step:13,loss:0.221
epoch:6,step:14,loss:0.231
epoch:6,step:15,loss:0.221
epoch:6,step:16,loss:0.251
epoch:6,step:17,loss:0.256
epoch:6,step:18,loss:0.245
